Name;Vessel Sanction Indicators;IMO;Flag;LLI Vessel Type;Vessel Type and Size;Built;Status;Beneficial Owner;Beneficial Owner Country/Region;Beneficial Owner Sanction Indicators;Beneficial Owner - Shareholders & UBO Sanctions;Commercial Operator;Commercial Operator Country/Region;Commercial Operator Sanction Indicators;Commercial Operator - Shareholders & UBO Sanctions;Registered Owner;Registered Owner Country/Region;Registered Owner Sanction Indicators;Registered Owner - Shareholders & UBO Sanctions;Technical Manager;Technical Manager Country/Region;Technical Manager Sanction Indicators;Technical Manager - Shareholders & UBO Sanctions;ISM Manager;ISM Manager Country/Region;ISM Manager Sanction Indicators;ISM Manager - Shareholders & UBO Sanctions;Third Party Operator;Third Party Operator Country/Region;Third Party Operator Sanction Indicators;Third Party Operator - Shareholders & UBO Sanctions;Length Overall (m);Depth (m);Maximum Draught (m);Freeboard (m);
Verandering;;-;Netherlands;Vessel Type (unspecified);Miscellaneous;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;80.00;-;-;-;
Initium;;-;Netherlands;general cargo;Unknown size;1995;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;105.00;-;0.40;-;
Notre Dame De Foy;;8798524;France;trawler (All types);Fishing;1980;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;17.00;-;-;-;
Vera;;-;Netherlands;general cargo;Unknown size;1974;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;108.00;1.74;-;-;
SIRIUS;;9185011;Netherlands;chemical tanker;-5'dwt;2000;Live;Scheepvaartbedrijf A Kooren B.V.;Netherlands;;;Scheepvaartbedrijf A Kooren B.V.;Netherlands;;;Scheepvaartbedrijf A Kooren B.V.;Netherlands;;;Scheepvaartbedrijf A Kooren B.V.;Netherlands;;;-;-;;;-;-;;;104.80;5.30;3.20;2.10;
Serena;;8542561;France;fishing (general);Fishing;1988;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;16.00;-;-;-;
Suezmax;;9572604;Netherlands;chemical tanker;-5'dwt;2009;Live;Unknown Owners;-;;;Unknown Owners;-;;;Rivero Mariteam BV;Netherlands;;;Vario Shipping BV;Netherlands;;;Vario Shipping BV;Netherlands;;;-;-;;;135.00;-;3.20;-;
Megan;;8337863;Netherlands;chemical tanker;-5'dwt;2005;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;86.00;-;1.70;-;
Synthese 11;;8534863;Netherlands;chemical tanker;-5'dwt;2003;Live;Wijnhoff & Van Gulpen & Larsen B.V. (Wijgula BV);Netherlands;;;Wijnhoff & Van Gulpen & Larsen B.V. (Wijgula BV);Netherlands;;;Wijnhoff & Van Gulpen & Larsen B.V. (Wijgula BV);Netherlands;;;Wijnhoff & Van Gulpen & Larsen B.V. (Wijgula BV);Netherlands;;;-;-;;;-;-;;;81.30;-;4.35;-;
Zeemeeuw;;8434128;Netherlands;pilot ship;Other Service;1970;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;20.00;-;1.30;-;
Wind Supplier;;9566148;Denmark (Int. Register);supply;Offshore;2010;Live;Orsted A/S;Denmark;;;Orsted A/S;Denmark;;;Orsted Wind Power A/S;Denmark;;;Northern Offshore Services A/S;Denmark;;;Northern Offshore Services A/S;Denmark;;;-;-;;;31.62;3.45;1.70;1.75;
Synthese 2;;8528541;Netherlands;chemical tanker;-5'dwt;2000;Live;Wijnhoff & Van Gulpen & Larsen B.V. (Wijgula BV);Netherlands;;;Wijnhoff & Van Gulpen & Larsen B.V. (Wijgula BV);Netherlands;;;Wijnhoff & Van Gulpen & Larsen B.V. (Wijgula BV);Netherlands;;;Wijnhoff & Van Gulpen & Larsen B.V. (Wijgula BV);Netherlands;;;-;-;;;-;-;;;85.92;-;1.50;-;
ALEXANDRA;;-;Netherlands;general cargo;Unknown size;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;135.00;-;-;-;
TJERK HIDDE;;-;Netherlands;tug;Tug;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;21.00;-;2.70;-;
Cecilia;;7615438;Netherlands;general cargo;-5'dwt;1977;Live;Transport Maritime Aly Mamade;Madagascar;;;Transport Maritime Aly Mamade;Madagascar;;;Transport Maritime Aly Mamade;Madagascar;;;Transport Maritime Aly Mamade;Madagascar;;;-;-;;;-;-;;;49.00;5.50;3.50;2.00;
Castor;;9576935;Netherlands;Tanker (unspecified);Unknown size;2010;Live;Universe Shipping B.V.;Netherlands;;;Universe Shipping B.V.;Netherlands;;;Star Tankers BV;Netherlands;;;Interstream Barging Holding BV;Netherlands;;;Interstream Barging Holding BV;Netherlands;;;-;-;;;135.00;-;1.60;-;
Atlantic Supplier;;9806445;Netherlands;chemical tanker;Unknown size;2016;Live;Atlantic Aardolieproducten Maatschappij B.V.;Netherlands;;;Atlantic Schepen Exploitatie Maatschappij B.V.;Netherlands;;;Posttrans BV;Netherlands;;;Atlantic Schepen Exploitatie Maatschappij B.V.;Netherlands;;;-;-;;;-;-;;;85.80;-;4.68;-;
Jan Prins;;9152636;Netherlands;trawler (All types);Fishing;1996;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;41.00;-;-;-;
Biesbosch;;9803522;Netherlands;dredger;Other Service;2016;Live;MerweOord B.V.;Netherlands;;;Van Oord N.V.;Netherlands;;;Van Oord Overig Materieel IV B.V.;Netherlands;;;Van Oord N.V.;Netherlands;;;Van Oord Ship Management B.V.;Netherlands;;;-;-;;;64.00;2.97;2.02;0.93;
Damkerort;;8745888;Germany;fishing (general);Fishing;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;30.00;-;3.00;-;
Mia Amore;;-;Netherlands;Tanker (unspecified);Unknown size;1998;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;80.00;-;2.50;-;
Duzgit Endeavour;;9581007;Turkiye;Combined chemical and oil tanker;10'-20'dwt;2013;Live;Duzgit group of companies;Turkiye;;;DSM Gemi Isletmeciligi AS;Turkiye;;;Duzgit Gemi Insa Sanayi AS;Turkiye;;;DSM Gemi Isletmeciligi AS;Turkiye;;;DSM Gemi Isletmeciligi AS;Turkiye;;;-;-;;;155.38;11.10;8.85;2.47;
Laker;;9581368;Panama;bulk carrier;Supramax, 50'-60'dwt;2011;Live;Bekmezci Group of Companies;Turkiye;;;Laker Maritime & Trading Incorporated;Panama;;;Laker Maritime & Trading Incorporated;Panama;;;Spark Gemi Isletmeciligi AS (Spark Ship Management SA);Turkiye;;;Spark Gemi Isletmeciligi AS (Spark Ship Management SA);Turkiye;;;-;-;;;190.00;18.50;13.00;5.52;
Mejora;;9569061;Netherlands;Combined chemical and oil tanker;Unknown size;2010;Live;Unknown Owners;-;;;Unknown Owners;-;;;Mejora Tankvaart BV;Netherlands;;;Unknown Owners;-;;;-;-;;;-;-;;;135.00;-;5.90;-;
Bergensfjord;;9586617;Denmark (Int. Register);passenger ro/ro;20'+ gt;2014;Live;Fjord Line AS;Norway;;;Fjord Line (Danmark) A/S;Denmark;;;Fjord Skibsholding IV A/S;Denmark;;;Fjord Line (Danmark) A/S;Denmark;;;Fjord Line (Danmark) A/S;Denmark;;;-;-;;;170.00;9.30;6.50;2.80;
Harvest Moon;;9564475;U.K.;trawler (All types);Fishing;2010;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;19.00;-;5.00;-;
Grand Charles;;8229377;France;Vessel Type (unspecified);Miscellaneous;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;19.00;-;-;-;
TNB Pride;;-;Netherlands;general cargo;Unknown size;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;36.00;-;-;-;
Camaro IV;;-;Netherlands;general cargo with container capacity;Unknown size;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;135.00;-;3.00;-;
Allure;;-;Netherlands;general cargo;Unknown size;2002;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;110.00;-;-;-;
Caroline Elise;;-;Netherlands;fishing (general);Fishing;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;-;-;-;-;
Lumme;;8779384;Germany;research;Other Service;1995;Live;Government of The Federal Republic of Germany;Germany;;;Bundesminister fuer Verkehr-WSV;Germany;;;Bundesminister fuer Verkehr-WSV;Germany;;;Government of The Federal Republic of Germany;Germany;;;-;-;;;-;-;;;15.74;2.48;1.30;1.18;
Eiltank 49;;9249673;Germany;chemical tanker;-5'dwt;2002;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;109.80;-;5.30;-;
Marinus G;;9566318;Netherlands;cutter suction hopper dredger;Other Service;2010;Live;Internationaal Transport Gebr. Van Der Lee BV;Netherlands;;;Internationaal Transport Gebr. Van Der Lee BV;Netherlands;;;Gebr van der Lee Dredging BV;Netherlands;;;Internationaal Transport Gebr. Van Der Lee BV;Netherlands;;;Internationaal Transport Gebr. Van Der Lee BV;Netherlands;;;-;-;;;85.00;7.30;5.98;1.32;
La Main De Dieu;;8541969;France;fishing (general);Fishing;1989;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;15.00;-;15.00;-;
MA Brune;;8541323;France;fishing (general);Fishing;1992;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;18.00;-;3.70;-;
REGINA ANDREA;;7721031;Netherlands;Passenger Vessel (unspecified);-299gt;1977;Live;Unknown Owners;-;;;Unknown Owners;-;;;Neptunus B.V.;Netherlands;;;Unknown Owners;-;;;-;-;;;-;-;;;54.00;-;-;-;
Meandro;;-;Netherlands;Vessel Type (unspecified);Miscellaneous;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;85.00;-;3.10;-;
Bonanza II;;8205448;Netherlands;tug;Tug;1983;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;19.00;-;-;-;
Empedocle;;8741351;France;hopper barge;Miscellaneous;1977;Live;Merceron TP;France;;;Merceron TP;France;;;Merceron TP;France;;;Merceron TP;France;;;Merceron TP;France;;;-;-;;;56.52;3.70;1.97;1.73;
Yamatai;;9567714;Panama;semi-sub HL vessel;Miscellaneous;2010;Live;Nippon Yusen Kabushiki Kaisha (NYK Line) (Nippon Yusen Kaisha);Japan;;;NYK Bulk & Projects Carriers Limited;Japan;;;NYK Bulk & Projects Carriers Limited;Japan;;;NYK Bulk & Projects Carriers Limited;Japan;;;-;-;;;Basara Corporation Company Limited;Japan;;;162.00;9.00;6.37;2.63;
DSS Galatea;;9575400;Netherlands;supply;Offshore;2010;Live;Damen Shipyards Group NV;Netherlands;;;Damen Financial Participations Holding 2 B.V.;Netherlands;;;Dagro 1 BV;Netherlands;;;Fugro Marine Services B.V.;Netherlands;;;Fugro Marine Services B.V.;Netherlands;;;Koninklijke Marine Nederland;Netherlands;;;50.30;4.70;2.55;2.15;
Rapida;;-;Netherlands;general cargo;Unknown size;2008;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;110.00;-;3.60;-;
Primos;;8336883;Netherlands;chemical tanker;-5'dwt;2010;Live;-;-;;;-;-;;;En-Avant BV;Netherlands;;;Interstream Barging Holding BV;Netherlands;;;-;-;;;-;-;;;110.00;-;-;-;
Westerharde;;8779360;Germany;research;Other Service;1986;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;5.00;2.35;1.76;0.59;
Kentering;;8799671;Netherlands;chemical tanker;-5'dwt;2005;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;81.30;-;3.20;-;
Berjan;;-;Netherlands;general cargo;Unknown size;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;107.00;-;0.20;-;
Atlantic Partner;;9556624;Netherlands;bunkering tanker;Products, -5'dwt;2010;Live;Atlantic Aardolieproducten Maatschappij B.V.;Netherlands;;;Atlantic Schepen Exploitatie Maatschappij B.V.;Netherlands;;;Atlantic Schepen Exploitatie Maatschappij B.V.;Netherlands;;;Atlantic Schepen Exploitatie Maatschappij B.V.;Netherlands;;;-;-;;;-;-;;;110.00;-;4.30;-;
Seinpost;;-;Netherlands;general cargo;Unknown size;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;110.00;-;-;-;
Poseidon;;9205471;Belgium;Tanker (unspecified);Products, -5'dwt;2000;Live;Rederij Ringoot & Zoon BVBA;Belgium;;;Rederij Ringoot & Zoon BVBA;Belgium;;;Ringcoast NV;Belgium;;;Rederij Ringoot & Zoon BVBA;Belgium;;;-;-;;;-;-;;;109.85;-;5.30;-;
Atlantis;;9263849;Netherlands;Tanker (unspecified);Products, 5'-10'dwt;2004;Live;Unknown Owners;-;;;Unknown Owners;-;;;Rowan Scheepvaart BV;Netherlands;;;Unknown Owners;-;;;-;-;;;-;-;;;134.90;5.80;4.20;1.60;
MANOOT'CHE;;8542860;France;fishing (general);Fishing;1990;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;15.00;-;-;-;
Schrootbaron;;-;Netherlands;general cargo;Unknown size;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;75.00;-;2.50;-;
Compaan;;9582881;Netherlands;chemical tanker;-5'dwt;2010;Live;Unknown Owners;-;;;Unknown Owners;-;;;Devel Shipping SA;Luxembourg;;;Bruinsma Freriks Transport BV (BFT Tanker Logistics);Netherlands;;;-;-;;;-;-;;;110.00;-;5.40;-;
Octopoda;;-;Netherlands;barge;Miscellaneous;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;60.00;-;1.00;-;
Beverwaard;;-;Netherlands;general cargo;Unknown size;1987;Live;Unknown Owners;-;;;Unknown Owners;-;;;Maaskade Bevrachters BV;Netherlands;;;Unknown Owners;-;;;-;-;;;-;-;;;100.00;-;-;-;
Maxima;;8796318;Netherlands;Tanker (unspecified);Unknown size;2003;Live;Stichting Administratiekantoor Las Moras B.V;Netherlands;;;Royal Tankers B.V.;Netherlands;;;Royal Tankers B.V.;Netherlands;;;Royal Tankers B.V.;Netherlands;;;-;-;;;-;-;;;134.90;-;5.90;-;
Calendula 12;;9092886;Netherlands;Combined chemical and oil tanker;Unknown size;1986;Live;Atlantic Aardolieproducten Maatschappij B.V.;Netherlands;;;Atlantic Schepen Exploitatie Maatschappij B.V.;Netherlands;;;Atlantic Schepen Exploitatie Maatschappij B.V.;Netherlands;;;Atlantic Schepen Exploitatie Maatschappij B.V.;Netherlands;;;-;-;;;-;-;;;86.00;-;3.10;-;
Compromis;;8336601;Netherlands;chemical tanker;Unknown size;2002;Live;RS Sijbesma Beheer BV;Netherlands;;;RS Sijbesma Beheer BV;Netherlands;;;Compromis Tankvaart BV;Netherlands;;;RS Sijbesma Beheer BV;Netherlands;;;-;-;;;-;-;;;135.00;-;0.80;-;
Geosurveyor XXII;;9576662;U.K.;support;Offshore;2009;Live;Aquaship AS;Norway;;;Aquaship (UK) Limited;United Kingdom;;;Aquaship (UK) Limited;United Kingdom;;;Aquaship (UK) Limited;United Kingdom;;;-;-;;;-;-;;;25.50;-;2.30;-;
Isabella;;8530996;Netherlands;product tanker;Unknown size;2008;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;86.00;-;3.10;-;
MOBIL SERVICE 39;;-;Netherlands;tank barge;Miscellaneous;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;-;-;-;-;
Glorieuse Immaculee;;9089308;France (Int. Register);fishing (general);Fishing;2005;Live;-;-;;;-;-;;;Dominique Ramet;-;;;-;-;;;-;-;;;-;-;;;23.00;-;4.00;-;
Orion;;-;Netherlands;pilot ship;Other Service;2010;Live;VARO Energy Marketing AG;Switzerland;;;Nederlands Loodswezen B.V.;Netherlands;;;Nederlands Loodswezen B.V.;Netherlands;;;Nederlands Loodswezen B.V.;Netherlands;;;-;-;;;-;-;;;21.47;2.92;1.10;1.82;
VIRGINIE;;8678437;France;fishing (general);Fishing;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;-;-;-;-;
Island Centurion;;9579470;Norway;supply;Offshore;2011;Live;Island Offshore Group;Norway;;;Island Offshore Management AS;Norway;;;Island Offshore Shipholding L.P.;Cayman Islands;;;Island Offshore Management AS;Norway;;;Island Offshore Management AS;Norway;;;-;-;;;94.75;8.20;6.78;1.42;
Ye-157 Cornelia;;9168001;Netherlands;fishing (general);Fishing;1998;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;41.00;-;2.10;-;
Laetitia;;-;Netherlands;barge;Miscellaneous;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;95.00;-;2.50;-;
Wotan;;-;Germany;tank barge;Miscellaneous;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;86.00;-;-;-;
Haato;;9589786;Marshall Islands;bulk carrier;Panamax, 60'-100'dwt;2011;Live;Unknown Owners;-;;;Unknown Owners;-;;;Oberon Shipping Incorporated;Greece;;;GS Maritime Company Limited;Greece;;;GS Maritime Company Limited;Greece;;;-;-;;;199.98;18.60;13.01;5.59;
Turquoise;;-;Netherlands;Tanker (unspecified);Unknown size;1927;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;174.00;-;4.20;-;
Cgas Tiger;;9577991;Malta;Liquefied Petroleum Gas Carrier;LPG, -50'cbm;2012;Live;Unknown Owners;-;;;Unknown Owners;-;;;Namibian Port Authority;Republic of Namibia;;;Unknown Owners;-;;;-;-;;;-;-;;;99.90;11.70;7.06;4.70;
CGAS Cougar;;9578048;Malta;Liquefied Petroleum Gas Carrier;LPG, -50'cbm;2013;Live;Eitzen Family Group;Norway;;;Christiania Gas A/S;Denmark;;;Christiania Gas A/S;Denmark;;;V. Ships Limited;Monaco;;;V. Ships Limited;Monaco;;;-;-;;;99.90;11.70;7.06;4.64;
CGas Leopard;;9578012;Malta;Liquefied Petroleum Gas Carrier;LPG, -50'cbm;2012;Live;Eitzen Family Group;Norway;;;Christiania Shipping A/S;Denmark;;;Eitzen Shipping AS;Norway;;;Christiania Shipping A/S;Denmark;;;-;-;;;-;-;;;99.00;11.70;7.06;4.70;
Spectrum 1;;-;U.K.;supply;Offshore;2010;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;15.00;-;-;-;
Leonardo;;8643573;Switzerland;chemical tanker;Unknown size;1997;Live;Unknown Owners;-;;;Unknown Owners;-;;;Pamela Shipping SA;Germany;;;Unknown Owners;-;;;-;-;;;-;-;;;109.79;-;4.00;-;
ELISABETHSTAD;;9537692;Belgium;chemical tanker;5'-10'dwt;2010;Live;Unknown Owners;-;;;Unknown Owners;-;;;A Somers-Carron;Belgium;;;Unknown Owners;-;;;-;-;;;-;-;;;135.00;5.80;4.20;1.60;
Viking Karve;;8661848;Netherlands;product tanker;Products, -5'dwt;2006;Live;Haverkamp Tankvaart BV;Netherlands;;;Haverkamp Tankvaart BV;Netherlands;;;Haverkamp Tankvaart BV;Netherlands;;;Bruinsma Freriks Transport BV (BFT Tanker Logistics);Netherlands;;;Bruinsma Freriks Transport BV (BFT Tanker Logistics);Netherlands;;;Bruinsma Freriks Transport BV (BFT Tanker Logistics);Netherlands;;;81.20;-;4.68;-;
VB Puma;;9525443;Netherlands;fire fighting tug;Tug;2010;Live;Boluda Corporacion Maritima SL;Spain;;;Boluda Towage Europe BV;Netherlands;;;Boluda Shipping NL BV;Netherlands;;;Boluda Towage Rotterdam BV;Netherlands;;;Boluda Towage Rotterdam BV;Netherlands;;;-;-;;;31.50;5.40;4.60;0.80;
Multratug 20;;9572006;Netherlands;fire fighting tug;Tug;2010;Live;Taub�tservice Holding AS;Norway;;;Taub�tservice Holding AS;Norway;;;Kristiansund Taubaatservice AS;Norway;;;Multraship Towage & Salvage B.V.;Netherlands;;;-;-;;;-;-;;;32.50;5.20;4.88;0.32;
Le Kiff '2;;-;France;fishing (general);Fishing;1990;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;-;-;-;-;
Sophie Blue;;8979893;Malta;yacht;Yacht;1998;Live;Robertus Antonius Josephus van der Valk;Netherlands;;;Sophie Blue BV;Netherlands;;;Sophie Blue BV;Netherlands;;;Sophie Blue BV;Netherlands;;;-;-;;;-;-;;;40.00;4.75;-;-;
TYDA-KYRA;;-;Netherlands;general cargo;Unknown size;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;63.00;-;1.20;-;
Eiltank 77;;-;Germany;barge;Miscellaneous;2005;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;110.00;-;3.30;-;
HS Cobus;;-;Netherlands;Vessel Type (unspecified);Miscellaneous;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;80.00;-;1.00;-;
Somtrans X;;9263837;Belgium;Vessel Type (unspecified);Miscellaneous;2003;Live;Rederij Somers NV;Belgium;;;Rederij Somers NV;Belgium;;;Rederij Somers NV;Belgium;;;Rederij Somers NV;Belgium;;;-;-;;;-;-;;;134.90;-;5.80;-;
Synthese 16;;9588017;Netherlands;chemical tanker;Unknown size;2011;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;85.00;-;1.00;-;
Swalinge;;7637448;Netherlands;sand suction dredger;Other Service;1977;Live;A. Den Herder Scheepvaart B.V.;Netherlands;;;A. Den Herder Scheepvaart B.V.;Netherlands;;;Scheepvaartonderneming Swalinge B.V.;Netherlands;;;Den Herder B.V.;Netherlands;;;Den Herder B.V.;Netherlands;;;-;-;;;118.41;6.46;5.34;1.12;
Dionysios Z.;;9586540;Greece;tug/supply;Tug;2010;Live;Nemeka Z Maritime Company;Greece;;;Nemeka Z Maritime Company;Greece;;;Nemeka Z Maritime Company;Greece;;;Nemeka Z Maritime Company;Greece;;;Nemeka Z Maritime Company;Greece;;;N E Zouros Shipping Company (Zouros Group);Greece;;;40.00;4.95;4.21;0.75;
Excelsior;;-;Germany;Vessel Type (unspecified);Miscellaneous;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;105.00;-;0.20;-;
BLANDINA;;8337045;Germany;chemical tanker;-5'dwt;1987;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;109.96;-;1.50;-;
Vauban;;8543383;France;fishing (general);Fishing;1992;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;24.00;-;-;-;
Farmar Athos;;9714575;Norway;tug;Tug;2014;Live;Marship Holding AS;Norway;;;Farsund Marine Group AS;Norway;;;FARMAR Towage AS;Norway;;;FARMAR Management AS;Norway;;;FARMAR Management AS;Norway;;;FARMAR Management AS;Norway;;;30.30;6.65;5.00;1.65;
Lub Senior;;9599731;Netherlands;fishing (general);Fishing;2010;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;27.00;-;-;-;
KVB Modena;;-;Netherlands;general cargo;Unknown size;2008;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;110.00;-;1.20;-;
Niklas;;9582855;Antigua & Barbuda;general cargo with container capacity;-5'dwt;2010;Live;Hermann Lohmann Schiffahrtsverwaltungs GmbH;Germany;;;Hermann Lohmann Bereederungen GmbH & Company KG;Germany;;;ms Wes Orpheus Schiffahrts GmbH & Company KG;Liberia;;;Hermann Lohmann Schiffahrtsverwaltungs GmbH;Germany;;;Hermann Lohmann Schiffahrtsverwaltungs GmbH;Germany;;;Wilson EuroCarriers AS;Norway;;;87.83;7.10;5.50;1.60;
Atlantic Energy;;9679608;Netherlands;bunkering tanker;Products, -5'dwt;2013;Live;Atlantic Aardolieproducten Maatschappij B.V.;Netherlands;;;Atlantic Schepen Exploitatie Maatschappij B.V.;Netherlands;;;Posttrans BV;Netherlands;;;Posttrans BV;Netherlands;;;Posttrans BV;Netherlands;;;-;-;;;85.80;4.68;3.40;1.28;
Eiltank 48;;9193886;Germany;chemical tanker;-5'dwt;1999;Live;Reederei Jaegers GmbH;Germany;;;Reederei Jaegers GmbH;Germany;;;Eiltank Schiffahrt GmbH & Company Chemietransport KG;Germany;;;Reederei Jaegers GmbH;Germany;;;-;-;;;-;-;;;86.00;-;3.10;-;
Celtic;;-;Netherlands;general cargo;Unknown size;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;110.00;-;-;-;
Drift;;-;Netherlands;general cargo;Unknown size;-;Live;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;Unknown Owners;-;;;-;-;;;-;-;;;86.00;-;0.30;-;
